ETRiS_Dev,Bld_Class,GED4ALLstr,Event,Latitude,Longitude,Dam_Scale,Modelling,Comments,Download,Original_doc,Code,
Yes,Wood; 1 storey,W/HEX:1,Tohoku Earthquake and Tsunami 2011,37.99549582,140.8870975,De Risi et al. 2017,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011_Wood%2C%201%20storey_M3.csv,https://doi.org/10.1007/s11069-012-0487-8,14,
Yes,Wood; 2 storeys,W/HEX:2,Tohoku Earthquake and Tsunami 2011,37.92633498,140.9123349,De Risi et al. 2017,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011_Wood%2C%202%20storey_M1.csv,https://doi.org/10.1007/s11069-012-0487-8,15,
Yes,Wood; 2 storeys,W/HEX:2,Tohoku Earthquake and Tsunami 2011,37.91633498,140.9023349,De Risi et al. 2017,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011_Wood%2C%202%20storey_M2.csv,https://doi.org/10.1007/s11069-012-0487-8,15,
Yes,Wood; 2 storeys,W/HEX:2,Tohoku Earthquake and Tsunami 2011,37.90633498,140.8923349,De Risi et al. 2017,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011_Wood%2C%202%20storey_M3.csv,https://doi.org/10.1007/s11069-012-0487-8,15,
Yes,Wood; 3 storeys or more,W/HAPP:3,Tohoku Earthquake and Tsunami 2011,37.83733847,140.9536028,De Risi et al. 2017,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011_Wood%2C%203%20storey%20and%20more_M1.csv,https://doi.org/10.1007/s11069-012-0487-8,16,
Yes,Wood; 3 storeys or more,W/HAPP:3,Tohoku Earthquake and Tsunami 2011,37.82733847,140.9436028,De Risi et al. 2017,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011_Wood%2C%203%20storey%20and%20more_M2.csv,https://doi.org/10.1007/s11069-012-0487-8,16,
Yes,Wood; 3 storeys or more,W/HAPP:3,Tohoku Earthquake and Tsunami 2011,37.81733847,140.9336028,De Risi et al. 2017,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011_Wood%2C%203%20storey%20and%20more_M3.csv,https://doi.org/10.1007/s11069-012-0487-8,16,
Yes,Masonary and Wood,MATO,Chilean Tsunami 2010,-36.546693,-72.938176,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Chilean Tsunami 2010_M1.csv,https://doi.org/10.5194/nhess-12-2689-2012,18,
Yes,Masonary and Wood,MATO,Chilean Tsunami 2010,-36.546793,-72.938176,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Chilean Tsunami 2010_M2.csv,https://doi.org/10.5194/nhess-12-2689-2012,18,
Yes,Masonary and Wood,MATO,Chilean Tsunami 2010,-36.546893,-72.938176,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Chilean Tsunami 2010_M3.csv,https://doi.org/10.5194/nhess-12-2689-2012,18,
